video_id,video_title,publish_time,viewCount,likeCount,commentCount,duration
YKACzIrog24,How to get better at the things you care about | Eduardo Briceño,2017-02-23,479205,13295,294,0 days 00:11:23
54ST8bwOVyc,&quot;A Bird Made of Birds&quot; | Sarah Kay,2019-07-23,201347,9571,257,0 days 00:04:54
nzj7Wg4DAbs,Why humans run the world | Yuval Noah Harari,2015-07-24,2969110,82410,3882,0 days 00:17:09
N6wjC0sxD2o,Design for All 5 Senses | Jinsop Lee | TED Talks,2013-08-06,465272,11681,418,0 days 00:09:04
x6fIseKzzH0,"Why working from home is good for business | The Way We Work, a TED series",2019-02-09,307198,4687,160,0 days 00:04:39
qAC-5hTK-4c,How your brain&#39;s executive function works -- and how to improve it | Sabine Doebel,2019-05-30,238557,5858,298,0 days 00:09:16
CfqO1U6lfDs,"Ed Yong: Suicidal wasps, zombie roaches and other parasite tales",2014-03-26,271471,7024,336,0 days 00:13:15
PZr142ka96k,"3 steps to stop remote work burnout | The Way We Work, a TED series",2020-11-02,199264,3911,152,0 days 00:04:10
LZAi7DlVN2g,Faith Jegede: What I&#39;ve learned from my autistic brothers,2012-11-02,102682,1747,111,0 days 00:05:21
Y0vRupFPw90,"How a dragonfly&#39;s brain is designed to kill | DIY Neuroscience, a TED series",2018-09-15,799714,19557,1398,0 days 00:05:18
6TyIY6u31gk,"Hacking your memory -- with sleep | Sleeping with Science, a TED series",2020-09-02,261278,9716,283,0 days 00:04:43
f-yWJoJltoo,What is melatonin -- and should you take it to fall asleep? | Sleeping with Science,2021-12-01,92374,3478,191,0 days 00:02:21
iB4MS1hsWXU,The lies our culture tells us about what matters --- and a better way to live | David Brooks,2019-07-03,1941508,39806,2586,0 days 00:14:55
twG4mr6Jov0,What you can do to prevent Alzheimer&#39;s | Lisa Genova,2017-05-19,2300215,39666,2383,0 days 00:13:57
bfGQpe6FQcw,The keys to a great conversation | Celeste Headlee,2021-05-07,147638,6876,111,0 days 00:03:13
sSOBk0v0viM,"How to embrace emotions at work | The Way We Work, a TED series",2020-02-10,154059,2578,72,0 days 00:04:36
rvkMauaHxBw,David Sengeh: The sore problem of prosthetic limbs,2014-04-10,86678,1494,57,0 days 00:04:44
Zu1kaPLt66E,The money talk that every couple needs to have | Your Money and Your Mind,2021-02-03,195826,5188,247,0 days 00:03:15
m5HQamrXlSY,What almost dying taught me about living | Suleika Jaouad,2019-07-18,367940,8643,298,0 days 00:17:24
lhP52caGW6s,Gavin Pretor-Pinney: Cloudy with a chance of joy,2013-07-16,110423,1914,118,0 days 00:10:55
SiDMd-b-R2g,"How sleep can improve your immunity | Sleeping with Science, a TED series",2020-09-02,101943,2403,43,0 days 00:02:18
DhnBn_c9f8Q,Small rockets are the next space revolution | Peter Beck,2019-12-09,155868,4955,342,0 days 00:11:33
DTcJmIbn5nw,&quot;Everything happens for a reason&quot; -- and other lies I&#39;ve loved | Kate Bowler,2019-07-02,3755009,95746,2721,0 days 00:14:50
pvBlSFVmoaw,Electrical experiments with plants that count and communicate | Greg Gage,2017-11-01,2950220,96938,4241,0 days 00:09:31
Zfneete-ZHY,"How surfboards connect us to nature | Small Thing Big Idea, a TED series",2020-02-11,166411,3295,76,0 days 00:03:37
X65jxnKiJpM,Robert A. Belle: The emotions behind your money habits | TED,2021-07-28,130710,5261,150,0 days 00:08:48
PX61e3sAj5k,The little risks you can take to increase your luck | Tina Seelig,2018-08-28,312062,8395,290,0 days 00:11:40
Mp3Msfw90BE,"5 tips for dealing with meeting overload | The Way We Work, a TED series",2021-10-11,82699,2380,137,0 days 00:05:09
yyVMZHjaY40,"Why pasta comes in all shapes and sizes | Small Thing Big Idea, a TED series",2019-12-10,176188,4175,205,0 days 00:03:37
k9dz4ydxmtM,How long does it take to get over a breakup? | Am I Normal? with Mona Chalabi,2021-10-19,91793,3005,351,0 days 00:03:36
Xe2nlti47kA,"Linda Cliatt-Wayman: How to fix a broken school? Lead fearlessly, love hard",2015-06-05,370756,6378,315,0 days 00:17:08
P_6vDLq64gE,How to spot a liar | Pamela Meyer,2011-10-13,21849106,218381,15635,0 days 00:18:51
1mLQFm3wEfw,3 ways to make better decisions -- by thinking like a computer | Tom Griffiths,2018-10-05,869239,13868,259,0 days 00:11:48
tFX1nQLZUVM,"Kenneth Shinozuka: My simple invention, designed to keep my grandfather safe",2015-02-12,175359,2470,161,0 days 00:05:51
vMQlj9TZQfE,"Erika Cheung: Theranos, whistleblowing and speaking truth to power | TED",2020-11-26,389711,9076,1079,0 days 00:16:51
nCwwVjPNloY,My journey from Marine to actor | Adam Driver,2016-06-21,10377655,308720,9416,0 days 00:18:03
Y_9vd4HWlVA,Imaging at a trillion frames per second | Ramesh Raskar,2012-07-26,3159973,52770,3323,0 days 00:11:02
1BXYSGepx7Q,What you need to know about CRISPR | Ellen Jorgensen,2016-10-24,821784,13257,810,0 days 00:09:54
_qgSz1UmcBM,How Quantum Biology Might Explain Life’s Biggest Questions | Jim Al-Khalili | TED Talks,2015-09-16,980294,19285,1201,0 days 00:16:10
MD23gIlr52Y,Diébédo Francis Kéré: How to build with clay... and community,2013-12-10,168759,4072,110,0 days 00:12:12
